iterasyon 26, epoch 27/100, Loss: 5.7165, Learning rate: 1e-05, MSE Loss: 0.0365, CE Loss: 5.6800, Accuracy: 16.67%
iterasyon 27, epoch 28/100, Loss: 5.7097, Learning rate: 1e-05, MSE Loss: 0.0363, CE Loss: 5.6734, Accuracy: 16.67%
iterasyon 28, epoch 29/100, Loss: 5.7029, Learning rate: 1e-05, MSE Loss: 0.0361, CE Loss: 5.6668, Accuracy: 16.67%
iterasyon 29, epoch 30/100, Loss: 5.6961, Learning rate: 1e-05, MSE Loss: 0.0360, CE Loss: 5.6601, Accuracy: 16.67%
iterasyon 30, epoch 31/100, Loss: 5.6892, Learning rate: 1e-05, MSE Loss: 0.0358, CE Loss: 5.6534, Accuracy: 16.67%
iterasyon 31, epoch 32/100, Loss: 5.6825, Learning rate: 1e-05, MSE Loss: 0.0357, CE Loss: 5.6468, Accuracy: 16.67%
iterasyon 32, epoch 33/100, Loss: 5.6757, Learning rate: 1e-05, MSE Loss: 0.0355, CE Loss: 5.6402, Accuracy: 16.67%
iterasyon 33, epoch 34/100, Loss: 5.6689, Learning rate: 1e-05, MSE Loss: 0.0354, CE Loss: 5.6335, Accuracy: 16.67%
iterasyon 34, epoch 35/100, Loss: 5.6621, Learning rate: 1e-05, MSE Loss: 0.0352, CE Loss: 5.6269, Accuracy: 16.67%
iterasyon 35, epoch 36/100, Loss: 5.6553, Learning rate: 1e-05, MSE Loss: 0.0351, CE Loss: 5.6202, Accuracy: 16.67%
iterasyon 36, epoch 37/100, Loss: 5.6486, Learning rate: 1e-05, MSE Loss: 0.0350, CE Loss: 5.6136, Accuracy: 16.67%
iterasyon 37, epoch 38/100, Loss: 5.6417, Learning rate: 1e-05, MSE Loss: 0.0349, CE Loss: 5.6069, Accuracy: 16.67%
iterasyon 38, epoch 39/100, Loss: 5.6349, Learning rate: 1e-05, MSE Loss: 0.0347, CE Loss: 5.6002, Accuracy: 16.67%
iterasyon 39, epoch 40/100, Loss: 5.6281, Learning rate: 1e-05, MSE Loss: 0.0346, CE Loss: 5.5935, Accuracy: 16.67%
iterasyon 40, epoch 41/100, Loss: 5.6213, Learning rate: 1e-05, MSE Loss: 0.0345, CE Loss: 5.5868, Accuracy: 17.95%
iterasyon 41, epoch 42/100, Loss: 5.6145, Learning rate: 1e-05, MSE Loss: 0.0344, CE Loss: 5.5801, Accuracy: 19.23%
iterasyon 42, epoch 43/100, Loss: 5.6077, Learning rate: 1e-05, MSE Loss: 0.0343, CE Loss: 5.5734, Accuracy: 19.23%
iterasyon 43, epoch 44/100, Loss: 5.6009, Learning rate: 1e-05, MSE Loss: 0.0342, CE Loss: 5.5667, Accuracy: 19.23%
iterasyon 44, epoch 45/100, Loss: 5.5940, Learning rate: 1e-05, MSE Loss: 0.0341, CE Loss: 5.5599, Accuracy: 19.23%
iterasyon 45, epoch 46/100, Loss: 5.5872, Learning rate: 1e-05, MSE Loss: 0.0340, CE Loss: 5.5532, Accuracy: 20.51%
iterasyon 46, epoch 47/100, Loss: 5.5803, Learning rate: 1e-05, MSE Loss: 0.0339, CE Loss: 5.5464, Accuracy: 20.51%
iterasyon 47, epoch 48/100, Loss: 5.5734, Learning rate: 1e-05, MSE Loss: 0.0338, CE Loss: 5.5396, Accuracy: 20.51%
iterasyon 48, epoch 49/100, Loss: 5.5666, Learning rate: 1e-05, MSE Loss: 0.0337, CE Loss: 5.5329, Accuracy: 20.51%
iterasyon 49, epoch 50/100, Loss: 5.5596, Learning rate: 1e-05, MSE Loss: 0.0336, CE Loss: 5.5261, Accuracy: 20.51%
iterasyon 50, epoch 51/100, Loss: 5.5528, Learning rate: 1e-05, MSE Loss: 0.0335, CE Loss: 5.5193, Accuracy: 21.79%
iterasyon 51, epoch 52/100, Loss: 5.5459, Learning rate: 1e-05, MSE Loss: 0.0334, CE Loss: 5.5125, Accuracy: 23.08%
iterasyon 52, epoch 53/100, Loss: 5.5390, Learning rate: 1e-05, MSE Loss: 0.0333, CE Loss: 5.5057, Accuracy: 23.08%
iterasyon 53, epoch 54/100, Loss: 5.5321, Learning rate: 1e-05, MSE Loss: 0.0332, CE Loss: 5.4989, Accuracy: 23.08%
iterasyon 54, epoch 55/100, Loss: 5.5251, Learning rate: 1e-05, MSE Loss: 0.0331, CE Loss: 5.4920, Accuracy: 23.08%
iterasyon 55, epoch 56/100, Loss: 5.5182, Learning rate: 1e-05, MSE Loss: 0.0331, CE Loss: 5.4851, Accuracy: 23.08%
iterasyon 56, epoch 57/100, Loss: 5.5112, Learning rate: 1e-05, MSE Loss: 0.0330, CE Loss: 5.4782, Accuracy: 23.08%
iterasyon 57, epoch 58/100, Loss: 5.5042, Learning rate: 1e-05, MSE Loss: 0.0329, CE Loss: 5.4713, Accuracy: 23.08%
iterasyon 58, epoch 59/100, Loss: 5.4972, Learning rate: 1e-05, MSE Loss: 0.0328, CE Loss: 5.4644, Accuracy: 23.08%
iterasyon 59, epoch 60/100, Loss: 5.4903, Learning rate: 1e-05, MSE Loss: 0.0328, CE Loss: 5.4575, Accuracy: 23.08%
iterasyon 60, epoch 61/100, Loss: 5.4833, Learning rate: 1e-05, MSE Loss: 0.0327, CE Loss: 5.4506, Accuracy: 23.08%
iterasyon 61, epoch 62/100, Loss: 5.4763, Learning rate: 1e-05, MSE Loss: 0.0326, CE Loss: 5.4437, Accuracy: 24.36%
iterasyon 62, epoch 63/100, Loss: 5.4694, Learning rate: 1e-05, MSE Loss: 0.0326, CE Loss: 5.4368, Accuracy: 24.36%
iterasyon 63, epoch 64/100, Loss: 5.4624, Learning rate: 1e-05, MSE Loss: 0.0325, CE Loss: 5.4299, Accuracy: 25.64%
iterasyon 64, epoch 65/100, Loss: 5.4555, Learning rate: 1e-05, MSE Loss: 0.0324, CE Loss: 5.4231, Accuracy: 25.64%
iterasyon 65, epoch 66/100, Loss: 5.4487, Learning rate: 1e-05, MSE Loss: 0.0324, CE Loss: 5.4163, Accuracy: 25.64%
iterasyon 66, epoch 67/100, Loss: 5.4418, Learning rate: 1e-05, MSE Loss: 0.0323, CE Loss: 5.4095, Accuracy: 26.92%
iterasyon 67, epoch 68/100, Loss: 5.4350, Learning rate: 1e-05, MSE Loss: 0.0323, CE Loss: 5.4027, Accuracy: 29.49%
iterasyon 68, epoch 69/100, Loss: 5.4281, Learning rate: 1e-05, MSE Loss: 0.0322, CE Loss: 5.3959, Accuracy: 29.49%
iterasyon 69, epoch 70/100, Loss: 5.4213, Learning rate: 1e-05, MSE Loss: 0.0322, CE Loss: 5.3891, Accuracy: 29.49%
iterasyon 70, epoch 71/100, Loss: 5.4144, Learning rate: 1e-05, MSE Loss: 0.0321, CE Loss: 5.3823, Accuracy: 29.49%
iterasyon 71, epoch 72/100, Loss: 5.4076, Learning rate: 1e-05, MSE Loss: 0.0320, CE Loss: 5.3755, Accuracy: 29.49%
iterasyon 72, epoch 73/100, Loss: 5.4007, Learning rate: 1e-05, MSE Loss: 0.0320, CE Loss: 5.3687, Accuracy: 29.49%
iterasyon 73, epoch 74/100, Loss: 5.3938, Learning rate: 1e-05, MSE Loss: 0.0319, CE Loss: 5.3619, Accuracy: 29.49%
iterasyon 74, epoch 75/100, Loss: 5.3869, Learning rate: 1e-05, MSE Loss: 0.0319, CE Loss: 5.3550, Accuracy: 29.49%
iterasyon 75, epoch 76/100, Loss: 5.3799, Learning rate: 1e-05, MSE Loss: 0.0318, CE Loss: 5.3481, Accuracy: 29.49%
iterasyon 76, epoch 77/100, Loss: 5.3729, Learning rate: 1e-05, MSE Loss: 0.0318, CE Loss: 5.3412, Accuracy: 29.49%
iterasyon 77, epoch 78/100, Loss: 5.3660, Learning rate: 1e-05, MSE Loss: 0.0317, CE Loss: 5.3343, Accuracy: 30.77%
iterasyon 78, epoch 79/100, Loss: 5.3591, Learning rate: 1e-05, MSE Loss: 0.0317, CE Loss: 5.3274, Accuracy: 32.05%
iterasyon 79, epoch 80/100, Loss: 5.3522, Learning rate: 1e-05, MSE Loss: 0.0316, CE Loss: 5.3206, Accuracy: 32.05%
iterasyon 80, epoch 81/100, Loss: 5.3452, Learning rate: 1e-05, MSE Loss: 0.0316, CE Loss: 5.3137, Accuracy: 32.05%
